,text_ek
15647,"big questions for me that never get much attention where was flight heading , did it have no use any more and get shot down ? if the hijacker thing isnt actually true then who made the transmissions from the cockpit mid flight ?"
3676,another boeing allcaps max allcaps crashes reports are flight et just crashed a few hours ago . exact same plane as lion air flight . definitely adds to the fact boeing might be covering up a defect in the new aeroplane . just some food for thought . edit quora has a amazing recap
4807,"the allcaps tsa allcaps is actually incredible at finding weapons . my theory is that the media publishes reports of the allcaps tsa allcaps doing incredibly poorly on weapon detection tests , only to lull potential attackers into a false sense of security . i really cant believe full body scanners and x rays of every bag can really miss that much ."
3897,"diversity makes engineering and airplanes less safe but it will not be widely reported . airplanes and bridges will keep falling just to keep the diversity narrative alive . media will not report the truth . when companies are continually sued for racism hiring quotas the result will be incompetence . the theory is that companies like boeing would rather have racist hiring practices than hire the most qualified engineers that will help them make the best product . that s nonsense . so now we have autopilot systems designed by incompetent , but diverse , engineering teams . there should be multiple backup sensors before you code an airplane to take a nosedive . but i bet that conversation was never allowed . in today s engineering groups you cannot criticize the code or designs of the diverse snowflakes or you could be terminated . this will result in a group that is even more incompetent as they weed out the smartest in the group . just ask james damore ."
22015,"project for the new american century i ve spent the whole night reading through the archived website of allcaps pnac allcaps and all of their archived files . allcaps wow allcaps . from up until they literally planned the war on terrorism and us global expansion , they consistently would release articles pushing for an increased defense budget , and then ultimately on they sent bush this letter it s just mind blowing . and i wonder how this coincides with saudi arabia s involvement with"
4272,could the recent boeing crashes be the result of hacking or cyber sabotage ? who might be responsible for such a heinous act ? who would benefit ?
7458,"stories vs . stories seconds the story martin tower building approximately feet was recently imploded with a recorded collapse time of seconds , roughly the same amount of time for the story approximately feet twin towers fire gravity collapse . repeated hmm . repeated video of martin tower demo"
2970,"which do you consider the bigger focus point regarding the jet fuel steel melting point or the dive bomb perfect landing on the pentagon ? simple curiosity . i see more posts and comments on the jet fuel . decent points both sides . however , i m still baffled how an amateur pilot takes a down thousands of feet without landing training , identifies the pentagon without a tracking system , and perfectly crashes into a story building . really i want an explanation on the probability of that . edit spelling"
3931,boeing max any theories on what s really going on ?
19875,"zionist involvement in the destruction of evidence was a false flag event perpetrated by israel . the attacks were blamed on afghanistan and islamic terrorists in order to draw america into fighting israel s wars in the middle east . the greatest crime in american history was solved in seconds , with every news agency in the us explaining who did and how immediately after the attacks . while the lie of islamic terrorists bringing down the towers was being spun by the news media , highly placed zionists within the us government quietly destroyed the evidence of what actually happened . we all know the meme jet fuel can not melt steal beams . what the government would like you to believe is that a plane hitting a building somehow became a refinery that was able to melt steel for three months . ultra fine particles of iron were present in the air for three months after the attacks . this is only possible if iron is being melted . the boiling point of iron is , 1 8 4 f . logic and science dictate that a plane crashing into a building would not cause this amount of heat . the only explanation for molten particles of iron in the air around is that super thermite was used to collapse the two towers . an analysis of the iron left over would have indicated whether thermite was used to destroy the towers or not . no analysis was done because the evidence was destroyed . it is important to look at the players behind the scenes who helped clean up the mess of aka destroyed the evidence . because was a false flag it was imperative that the true perpetrators of the crime would not be exposed . this can only happen if the evidence of the crime is destroyed . it is beyond convenient that zionist puppets just happened to be in the positions of power that would be in charge of cleaning up . because was an act of terror , the investigation and prosecution of the attacks were the responsibility of the department of justice . assistant attorney general michael chertoff , israeli dual citizen and son of a mossad agent , supervised the collection of evidence after . chertoff helped coordinate the removal of steel from the two towers to two scrap yards in allcaps nyc allcaps , both of which had ties to zionist organizations . chertoff appointed richard shearer , another israeli dual citizen , to plan the removal of the steel . this clean up began on . the company that carried out the debris removal was bovis lend lease , a british company headed by frank lampel , a jewish immigrant and ardent supporter of zionism . frank lampel hired the hugo neu scrap yard to transport the metal to china . hugo neu hired mark rich , infamous zionist who was pardoned for financial crimes by bill clinton on his last day in office , to oversee the shipment of the steel to china . do you see how this works ? china bought the metal at money per ton while american companies were paying money per ton for scrap iron at that time . zionist fingerprints are all over ."
3951,"people are thinking it s a false flag , but i am not buying that . nz , terror act first of all what is a false flag ? one group or in this case individual is framed for an attack or any situation . this means that everyone is linking this act to a specific group instead of the real puppet master . and the puppet master is gaining something or is profiting . so who would organise this crazy shit ? who would have profit of this mass shooting terror act ? i have read that israel could use that to cover up their massive attacks in gaza , but being honest here . that shit happens all the time and nobody gave a fuck about that in the western world . israel would not invest resources for shit they can usually do without anybody batting an eye . so i have seen people with . oh that s so clearly a false flag attack smh . who would be behind that act and in what way would he profit . being prescribed as an inside job makes sense , because there is somebody profiting from this situation . i do not see anybody profiting of a maniac killing muslims and he is not even from new zealand ? ! repeated percent of new zealands population is muslim . it s not like this country is suffering from an islamic invasion . i d expect this stupid argument in countries like the uk , france or germany . repeated also many people are saying that the manifesto is an evidence . this manifesto is the most hypocritical thing i have read in a long time . either this guy is a big big racist retard , the biggest troll ever or mentally unstable . or even all three . i am trying to start a discussion here , because the arguments of this being a false flag attack seem pretty weak to me ."
9098,crashed plane off ocean beach ca ? snapchat maps seems to depict a crashed plane off the coast of ocean beach ca . yet no articles on this .
