,text_ek
18087,"special olympian frank stephens : “ i don ’ t want to make abortion illegal , i want to make it unthinkable ” < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > k - stephens - i - dont - want - to - make - abortion - illegal - i - want - to - make - it - unthinkable / </span> < span class = "" ellipsis "" > </span> </a>"
1692,"victory ! < br / > < br / > texas will fully defund planned parenthood abortion business tomorrow < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > nd - planned - parenthood - abortion - business - tomorrow / </span> < span class = "" ellipsis "" > </span> </a>"
5953,"alabama passes resolution to lower its flags , mourn <number> million babies killed in abortions < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > tion - to - lower - its - flags - mourn - <number> - million - babies - killed - in - abortions / </span> < span class = "" ellipsis "" > </span> </a>"
19630,"an ordinary man – who became a hero for life … fighting for life : the story of now v . scheidler chronicles the twenty - eight - year legal battle of joe scheidler , attacked by the massive abortion lobby for encouraging civil yet vocal opposition to the killing of unborn children . personal interviews with scheidler , and tom brejcha , the attorney who risked all to defend him , recount the journey to protect the rights of pro - life advocates . that lawsuit went before the united states supreme court three times and birthed the not - for - profit national law firm , the thomas more society , which daily secures those pro - life rights in america ’ s courts . < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > ry - of - now - v - scheidler - 6 0 1 9 d372970ad6994bf4c147 </span> < span class = "" ellipsis "" > </span> </a>"
4274,"breaking : white house press secretary jen psaki says joe biden is "" delivering on his promise "" of unity by forcing americans to fund abortions . < br / > < br / > no , unity does not mean making americans fund planned parenthood ' s abortion business ! < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > den - is - delivering - on - his - promise - of - unity - by - forcing - americans - to - fund - abortions / </span> < span class = "" ellipsis "" > </span> </a>"
17856,"healthy nz baby took two hours to die after late term abortion while hospital withheld medical assistance < br / > voice for life has been made aware of a recent case involving a healthy new zealand infant who was born alive after an unsuccessful late term abortion and then left gasping without medical assistance for two hours before dying . < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > two - hours - to - die - after - late - term - abortion - while - hospital - withheld - medical - assistance / </span> < span class = "" ellipsis "" > </span> </a>"
923,"texas officially defunds planned parenthood . < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > intanilla / texas - officially - defunds - planned - parenthood . html </span> < span class = "" ellipsis "" > </span> </a>"
18794,"leading physician confirms unborn children feel excruciating pain during abortions < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > firms - unborn - children - feel - excruciating - pain - during - abortions / </span> < span class = "" ellipsis "" > </span> </a>"
20526,"texas judge says muslim woman can ’ t get divorce according to u.s. law , has to abide by islamic law < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > / texas - judge - says - muslim - woman - cant - get - divorce - according - to - u - s - law - has - to - abide - by - islamic - law - n1460711 </span> < span class = "" ellipsis "" > </span> </a>"
19328,"victory ! < br / > < br / > south carolina senate committee passes bill banning abortions when unborn baby ’ s heartbeat begins < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > - committee - passes - bill - banning - abortions - when - unborn - babys - heartbeat - begins / </span> < span class = "" ellipsis "" > </span> </a>"
22895,"pro - lifers slam joe biden for forcing americans to fund planned parenthood , he ’ s no “ devout catholic ” < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > iden - for - forcing - americans - to - fund - planned - parenthood - hes - no - devout - catholic / </span> < span class = "" ellipsis "" > </span> </a>"
15280,"god help us : white house announces it will codify federal abortion law < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > unces - it - will - codify - federal - abortion - law / </span> < span class = "" ellipsis "" > </span> </a>"
12577,"breaking : senate democrats block amendment to stop infanticide , care for babies born alive after abortions < br / > < br / > every single senator who voted to block this common sense amendment should be defeated . < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > k - bill - to - stop - infanticide - care - for - babies - born - alive - after - abortions - <number> / </span> < span class = "" ellipsis "" > </span> </a>"
5627,"breaking : joe biden signs executive order forcing americans to fund planned parenthood abortion biz < br / > < br / > making americans fund planned parenthood ' s abortion agenda is not healing and not unity ! < br / > < br / > < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > tive - order - forcing - americans - to - fund - planned - parenthood - abortion - biz / </span> < span class = "" ellipsis "" > </span> </a>"
15316,"indiana house committee passes pro - life bill saving babies from abortions < a href = "" <url> rel = "" nofollow noopener noreferrer "" target = "" _blank "" > < span class = "" invisible "" > <url> class = "" invisible "" > ee - passes - pro - life - bill - saving - babies - from - abortions / </span> < span class = "" ellipsis "" > </span> </a>"
